title,content,images,description,video link,specification_heading,specification_key,specification_value,Url
"RoughDeck® Rough-n-Ready System, Floor Scale and 380 Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 380 indicator",https://www.ricelake.com/media/nfsheg0w/rl-roughdeck-floor-scale-and-380-indicator.png?mode=max&width=500&rnd=133283771777930000,Complete Floor Scale Package with RoughDeck® HP Floor Scale and 380 Synergy Series Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-380-indicator/
,"Package is factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/4ocgkmkr/1_us_380_front.png?mode=max&width=500&rnd=132802691545270000,Rice Lake’s RoughDeck HP floor scale has a heavy-duty industrial design and a structural steel channel frame. It has four NTEP-certified alloy steel shear beam load cells and a 20-foot SURVIVOR® EL147HE hostile environment load cell cable. The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,,This package pairs the 380 Synergy Series digital weight indicator with the RoughDeck HP. Rice Lake’s 380 has an LCD display with five tactile buttons and a keyed tare. It is battery-powered and provides up to 100 hours of continuous use.,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,,,,,Warranty (limited):,Weldment: Five-years Load cells: Two-years All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,,,,,Approvals:,"NTEP 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,LCD display,,,,,Power:,Batteries: Four alkaline C-cell (not included) Optional: 115/230 VAC to 12 VDC adapter,
,Communication ports,,,,380 Indicator Specifications,Battery Life:,"45 hours, continuous use on alkaline batteries with four 350 ohm load cells, low backlight",
,Stainless steel enclosure,,,,,Communication Ports:,One full-duplex RS-232 One USB 2.0 (device),
,,,,,,Display:,"Six 1 in (25 mm) tall, LCD digits",
,,,,,,Annunciators:,"g, lb, t, tn, kg, oz, battery level, PT, LT, gross, zero, unstable, net",
,,,,,,Keys/Buttons:,5 tactile buttons,
,,,,,,Rating/Material:,"Enclosure: IP66, 304 stainless steel",
,,,,,,Approvals:,NTEP 21-051 Measurement Canada AM-6184 CE Marked cULus Listed,
,,,,,,,,
,,,,,,,,
"RoughDeck® Rough-n-Ready System, Floor Scale and 381 Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 381 indicator",https://www.ricelake.com/media/mxjbfasz/1_us_roughdeck_380.png?mode=max&width=500&rnd=133324565894030000,Complete Floor Scale Package with RoughDeck® HP Floor Scale and 381 Synergy Series Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-381-indicator/
,"Package is factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/yrtpb3pm/rl-381-synergy-weight-indicator.jpg?mode=max&width=500&rnd=133263184700030000,Rice Lake’s RoughDeck HP floor scale has a heavy-duty industrial design and a structural steel channel frame. It has four NTEP-certified alloy steel shear beam load cells and a 20-foot SURVIVOR® EL147HE hostile environment load cell cable. The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,,"This package pairs the 381 Synergy Series digital weight indicator with the RoughDeck. The 381’s LCD weight display is clearly visible to operators, allowing the 381 Synergy to be mounted almost anywhere. The AA battery-operated model provides up to 40 hours of operation and has an IP54 rating. The Nickel Metal Hydride (NiMH) battery-operated model provides up to 80 hours of operation with an IP66 rating.",,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,,,,,Warranty (limited):,Weldment: five-years Load cells: two-years All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,,,,,Approvals:,"NTEP 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,LCD display,,,,,Power:,Battery: AA or Nickel Metal Hydride (NiMH) 381-2D-AA Adapter: 115/230 VAC to 12 VDC 381-2D-NiMH Charger: 115/230 VAC,
,Communication ports,,,,381 Indicator Specifications,Battery Life:,"AA: 16 hours with 4 × 350 ohm load cells, low backlight NiMH: 19 hours with 4 × 350 ohm load cells, low backlight",
,ABS enclosure,,,,,Communication Ports:,One RS-232 (three-wire) One USB 2.0,
,Battery powered,,,,,Display:,"Six 1 in (25 mm) tall, LCD digits",
,,,,,,Annunciators:,"g, lb, t, tn, kg, oz, battery level, PT, LT, gross, zero, unstable, net",
,,,,,,Keys/Buttons:,5 tactile buttons,
,,,,,,Rating/Material:,"AA Battery: IP54, ABS NiMH Battery: IP66, ABS",
,,,,,,Approvals:,"NTEP 21-051 Class III/IIIL, 10,000 d Measurement Canada AM-6184",
,,,,,,,,
,,,,,,,,
"RoughDeck® Rough-n-Ready, Floor Scale System with 480/480 Plus Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 480/480 Plus indicator",https://www.ricelake.com/media/gt5hk11u/rl-roughdeck-floor-scale-and-480-480-plus-indicator.png?mode=max&width=500&rnd=133283772885730000,Complete Floor Scale Package with RoughDeck® HP Floor Scale and 480/482 Legend® Series Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-480-480-plus-indicator/
,"Package is factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/hrqnxzee/1_lb_480plus_front.png?mode=max&width=500&rnd=132802687328800000,Rice Lake’s RoughDeck HP floor scale has a heavy-duty industrial design and a structural steel channel frame. It has four NTEP-certified alloy steel shear beam load cells and a 20-foot SURVIVOR® EL147HE hostile environment load cell cable. The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,https://www.ricelake.com/media/wk2mavbm/1_lb_480_front.png?mode=max&width=500&rnd=132802687364930000,"This package pairs the 480 Legend Series digital weight indicator with the RoughDeck. Rice Lake’s 480 has a 0.8-inch 6-digit LED display, NEMA Type 4X/IP66 stainless steel washdown enclosure and programmable ticket formats for gross, net, accumulator and setpoints.",,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,https://www.ricelake.com/media/qeyjs4mp/_portals_0_products_cbd9296a9559485bbfa2503d8d6831c6-orig.jpg?mode=max&width=500&rnd=132494147198970000,"This package can also pair the 482 Legend Series digital weight indicator with the CW-90B. Rice Lake’s 482 has a 0.8-inch 6-digit LCD backlit display and a NEMA Type 4X/IP66 stainless steel washdown enclosure, making it ideal for demanding workplaces. Advanced circuitry withstands electrical noise, power disturbances and transient spikes common to industrial applications.",,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,,,,,Approvals:,"NTEP CC 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,LED display,,,,,Communication Ports:,"Com 1: RS-232 full duplex Com 2: RS-232 full duplex or 20 mA simplex, continuous Both ports 1200, 2400, 4800, 9600, 19200, 38400 baud seven or eight data bits, even, odd or no parity",
,Time and date battery backed,,,,480/480 Indicator Specifications,Display:,"LED display 0.8 in (20 mm), six-digit, seven-segment",
,Numeric keypad (480 Plus only),,,,,Annunciators:,"Gross, net, center of zero, standstill, lb, kg, tare, preset tare",
,Communication ports,,,,,Keys/Buttons:,"Flat membrane panel, embossed keys, tactile feel",
,,,,,,Rating/Material:,"Enclosure: NEMA Type 4X/IP66, heavy-gauge stainless steel",
,,,,,,Approvals:,"NTEP CC 12-123 Measurement Canada AM-5892C, CE Marked cULus Listed",
,,,,,,,,
,,,,,,,,
